challan_no,unloading_date,vehicle_no,supplier,gross_wt_kg,tare_wt_kg,net_wt_kg,po_rate_per_kg,supplier_rate_per_kg,cess_paid_rs,balance_cess_rs,moisture_pct,mc_deduction_rs,akshaya_margin_per_mt,invoice_no,status,material
3862,2025-11-19,AP39TJ6260,,13980,3620,10360,,,,,,,,,,MAIZE
3863,2025-11-19,AP03BC1645,,14120,3710,10410,,,,,,,,,,MAIZE
3866,2025-11-19,AP39UR1675,,11860,3680,8180,,,,,,,,,,MAIZE
3868,2025-11-19,AP40AZ8744,,13840,3650,10190,,,,,,,,,,MAIZE
3869,2025-11-19,AP03TB3926,,14100,3660,10440,,,,,,,,,,MAIZE
3871,2025-11-19,AP39UG7334,,13970,3670,10300,,,,,,,,,,MAIZE
3873,2025-11-19,AP39UR3927,,13760,3820,9940,,,,,,,,,,MAIZE
3874,2025-11-19,AP39TJ6260,,13900,3650,10250,,,,,,,,,,MAIZE
3876,2025-11-19,AP40CA2390,,14030,3600,10430,,,,,,,,,,MAIZE
3882,2025-11-20,AP40CY4051,,13200,3560,9640,,,,,,,,,,MAIZE
3883,2025-11-20,AP03BC1645,,14080,3710,10370,,,,,,,,,,MAIZE
3884,2025-11-20,AP39UJ7376,,13760,3700,10060,,,,,,,,,,MAIZE
3885,2025-11-20,AP26TT9699,,29820,9440,20380,,,,,,,,,,MAIZE
3887,2025-11-20,AP39UF2130,,13630,3710,9920,,,,,,,,,,MAIZE
3889,2025-11-20,AP40AZ8744,,14190,3670,10520,,,,,,,,,,MAIZE
3893,2025-11-20,AP39TJ6260,,14710,3630,11080,,,,,,,,,,MAIZE
3894,2025-11-20,AP39TH9281,,14760,3670,11090,,,,,,,,,,MAIZE
3899,2025-11-20,AP39UR3927,,14750,3830,10920,,,,,,,,,,MAIZE
3900,2025-11-20,AP39UH1983,,14960,3880,11080,,,,,,,,,,MAIZE
3901,2025-11-20,AP39WA1944,,13900,3650,10250,,,,,,,,,,MAIZE
3903,2025-11-20,AP07TH7178,,48130,12170,35960,,,,,,,,,,MAIZE
3906,2025-11-20,AP40DT1074,,14510,3780,10730,,,,,,,,,,MAIZE
3912,2025-11-21,AP39TL6276,,14700,3660,11040,,,,,,,,,,MAIZE
3913,2025-11-21,AP39W4021,,13960,3750,10210,,,,,,,,,,MAIZE
3919,2025-11-21,AP39TY0493,,12690,3830,8860,,,,,,,,,,MAIZE
3920,2025-11-21,AP03BC11645,,14020,3710,10310,,,,,,,,,,MAIZE
3921,2025-11-21,AP40AZ8744,,13950,3660,10290,,,,,,,,,,MAIZE
3922,2025-11-21,AP39TH9281,,13960,3670,10290,,,,,,,,,,MAIZE
3924,2025-11-21,AP07TJ2166,,43420,12190,31230,,,,,,,,,,MAIZE
3926,2025-11-21,AP03TX5356,,13250,3480,9770,,,,,,,,,,MAIZE
3927,2025-11-21,AP07TF0007,,44740,12330,32410,,,,,,,,,,MAIZE
3929,2025-11-21,AP39TJ6260,,13890,3610,10280,,,,,,,,,,MAIZE
3935,2025-11-22,AP27Y8478,,31560,8700,22860,,,,,,,,,,MAIZE
3940,2025-11-22,AP39UR3927,,13470,3820,9650,,,,,,,,,,MAIZE
3941,2025-11-22,AP39UJ7376,,14280,3700,10580,,,,,,,,,,MAIZE
3943,2025-11-22,AP39TL6276,,9750,3670,6080,,,,,,,,,,MAIZE
3959,2025-11-22,AP39W4021,,14420,3740,10680,,,,,,,,,,MAIZE
3962,2025-11-23,AP39UR1675,,13810,3690,10120,,,,,,,,,,MAIZE
3964,2025-11-23,AP39UH1983,,15500,3880,11620,,,,,,,,,,MAIZE
3967,2025-11-23,AP27UB5558,,16900,5680,11220,,,,,,,,,,MAIZE
3970,2025-11-23,AP39TJ6260,,14370,3610,10760,,,,,,,,,,MAIZE
3972,2025-11-23,AP03TB3926,,13500,3650,9850,,,,,,,,,,MAIZE
3973,2025-11-23,AP39UJ7376,,13370,3710,9660,,,,,,,,,,MAIZE
3974,2025-11-23,AP27Y8478,,29850,8730,21120,,,,,,,,,,MAIZE
3975,2025-11-23,AP07TJ2166,,41740,12190,29550,,,,,,,,,,MAIZE
3982,2025-11-23,AP07TH2788,,40610,10400,30210,,,,,,,,,,MAIZE
3983,2025-11-23,AP39UF2130,,14270,3730,10540,,,,,,,,,,MAIZE
4002,2025-11-24,AP27Y8478,,32020,8730,23290,,,,,,,,,,MAIZE
4038,2025-11-25,AP39UU5888,,23980,6060,17920,,,,,,,,,,MAIZE
4061,2025-11-26,AP07TW1269,,30010,9230,20780,,,,,,,,,,MAIZE
4083,2025-11-27,AP04X2766,,27850,8740,19110,,,,,,,,,,MAIZE
4120,2025-11-29,FR,,8150,3720,4430,,,,,,,,,,MAIZE
4132,2025-11-30,AP07TD2408,,13900,3840,10060,,,,,,,,,,MAIZE
4134,2025-11-30,AP40CA2390,,14140,3620,10520,,,,,,,,,,MAIZE
4179,2025-12-02,AP39UG7334,,13510,3680,9830,,,,,,,,,,MAIZE
4186,2025-12-02,AP39TY3060,,14110,3660,10450,,,,,,,,,,MAIZE
4187,2025-12-02,AP27UB1667,,13690,3700,9990,,,,,,,,,,MAIZE
4208,2025-12-03,AP40CA2390,,11800,3590,8210,,,,,,,,,,MAIZE
4226,2025-12-04,AP39UB7376,,12820,3700,9120,,,,,,,,,,MAIZE
4251,2025-12-05,AP39UG7334,,12220,3700,8520,,,,,,,,,,MAIZE
4320,2025-12-13,AP40CY4051,,13970,3570,10400,,,,,,,,,,MAIZE
4328,2025-12-14,AP39TH9281,,11850,3670,8180,,,,,,,,,,MAIZE
4392,2025-12-20,AP39TH9281,,15400,3660,11740,,,,,,,,,,MAIZE
4457,2025-12-28,AP39UJ7376,,14770,3750,11020,,,,,,,,,,MAIZE
4458,2025-12-28,AP27TY1227,,33530,10450,23080,,,,,,,,,,MAIZE
4459,2025-12-28,AP40CY4051,,11080,3560,7520,,,,,,,,,,MAIZE
4460,2025-12-28,AP39UG7334,,14050,3670,10380,,,,,,,,,,MAIZE
4465,2025-12-28,AP27TY0045,,16070,5320,10750,,,,,,,,,,MAIZE
4607,2026-01-08,AP39UG7334,,15280,3670,11610,,,,,,,,,,MAIZE
4608,2026-01-08,AP03TB3926,,15810,3640,12170,,,,,,,,,,MAIZE
4744,2026-01-28,AP39VD1339,,20450,6390,14060,,,,,,,,,,MAIZE
4810,2026-02-05,AP27TZ2077,,44780,11980,32800,,,,,,,,,,MAIZE
4854,2026-02-11,AP27UX4432,,10270,3760,6510,,,,,,,,,,MAIZE
4856,2026-02-11,AP39SZ6985,,10020,3700,6320,,,,,,,,,,MAIZE
4864,2026-02-12,AP39UT7868,,5910,3820,2090,,,,,,,,,,MAIZE
2526000016,2026-02-18,AP07TM3516,,6160,3490,2670,,,,,,,,,,MAIZE
2526000017,2026-02-18,FR,,9190,3490,5700,,,,,,,,,,MAIZE
2526000232,2026-03-11,AP26TT6449,,23080,9550,13530,,,,,,,,,,PADDY HUSK
2526000242,2026-03-12,AP29TA2309,,23720,9480,14240,,,,,,,,,,PADDY HUSK
2526000253,2026-03-14,AP29TA2309,,23030,9500,13530,,,,,,,,,,PADDY HUSK
2526000265,2026-03-15,AP29TA2309,,25260,9470,15790,,,,,,,,,,PADDY HUSK
2526000270,2026-03-17,AP29TA2309,,23630,9400,14230,,,,,,,,,,PADDY HUSK
2627000107,2026-04-08,TG07X0711,,29900,11960,17940,,,,,,,,,,PADDY HUSK
2627000145,2026-04-10,AP29TA9501,,10380,4930,5450,,,,,,,,,,PADDY HUSK
2627000153,2026-04-11,AP29TA9501,,9810,4890,4920,,,,,,,,,,PADDY HUSK
2627000157,2026-04-12,AP29TA9501,,10210,4880,5330,,,,,,,,,,PADDY HUSK
2627000164,2026-04-13,TG07X0711,,32040,11940,20100,,,,,,,,,,PADDY HUSK
2627000170,2026-04-15,TG07X2831,,30790,11730,19060,,,,,,,,,,PADDY HUSK
2627000174,2026-04-15,TS12UB1619,,29140,11690,17450,,,,,,,,,,PADDY HUSK
2627000210,2026-04-19,AP29TA9501,,10390,4850,5540,,,,,,,,,,PADDY HUSK
2627000240,2026-04-24,AP03TB3926,,14280,3640,10640,,,,,,,,,,MAIZE
2627000242,2026-04-24,AP40FS5229,,14380,3730,10650,,,,,,,,,,MAIZE
